DATE,TIME,BLD A (KW),BLD A (KVA),BLD A (KVAR),BLD A (Apparent PF),Plant Chillers (KW),Plant Chillers (Avg Current),Plant Chillers (kWh),Plant Chillers (Apparent PF),Plant Chillers (Displacement PF),BLD A FITNESS ZONE (KW),BLD A FITNESS (AVG CURRENT),BLD A FITNESS (kWh),BLD A FITNESS (Apparent PF),BLD A FITNESS (Displacement PF),BLD B (KW),BLD B (kVa),BLD B (kVAR),BLD B (PF),BLD D (KW),BLD D (kVA),BLD D (kVAR),BLD D (PF),BLD E (KW),BLD E (kVA),BLD E (KVAR),BLD E (PF),BLD G (KW),BLD G (kVA),BLD G (kVAR),BLD G (PF),BLD H (KW),BLD H Average Current,BLD H (kWh),BLD H (Apparent PF),BLD H (DISPLACEMENT PF),BLD J (KW),BLD J Average Current,BLD J (kWh),BLD J (Apparent PF),BLD J (Displacement PF),BLD K (KW),BLD K Average Current,BLD K (kWh),BLD K (Apparent PF),BLD K (Displacement PF),BLD M (KW),BLD M (Average Current),BLD M (kWh),BLD M (Apparent PF),BLD M (Displacement PF),BLD N (KW),BLD N Average Current,BLD N (kWh),BLD N (Apparent PF),BLD N (Displacement PF),BLD P (KW),BLD P Average Current,BLD P (kWh),BLD P (Apparent PF),BLD P (Displacement PF),RES PH 1 & 2 (KW),RES PH 1 & 2 Avg Current,RES PH 1 & 2 (kWh),RES PH 1 & 2 (Apparent PF),RES PH 1 & 2 (Displacement PF),RES PH 3 (KW),RES PH 3 Avg Current,RES PH 3 (kWh),RES PH 3 (Apparent PF),RES PH 3 (Displacement PF),BLD S (KW),BLD S Avg Current,BLD S (kWh),BLD S (Apparent PF),BLD S (Displacement PF),BLD T (KW),BLD T Avg Current,BLD T (kWh),BLD T (Apparent PF),BLD T (Displacement PF),BLD V (KW),BLD V Avg Current,BLD V (kWh),BLD V (Apparent PF),BLD V (Displacement PF),BLD Z (KW),BLD Z Avg Current,BLD Z (kWh),BLD Z (Apparent PF),BLD Z (Displacement PF),COGEN 1 (kW),COGEN 1 (kVAR),COGEN 1 (kVA),COGEN2 (kW),COGEN2 (KVAR),COGEN2 (KVA),BLD C (kW),BLD C Avg Current,BLD C (kWh),BLD C (Apparent PF),BLD C (Displacement PF) ,Campus Billing (kW),Campus Billing (KVA),Campus Billing (KVAR),Campus Billing (kWh),Campus Billing PF
2020-02-01,0:00:00,431.26,475.57,64.98,0.99,141.1,136.46,1701708.25,0.97,No Data,19.32,26.05,647016.81,0.67,0.7,189.05,205.29,81.23,0.92,60.01,61.44,22.02,0.926,104,110,40,-93.26,18.7,14.4,4.96,0.92,129.49,139.09,4099661.5,0.88,No Data,73.4,73.08,1748325.5,0.94,No Data,7.52,8.18,484866.91,0.87,No Data,95.62,163.85,734128.88,0.55,No Data,91.45,94.94,2122861.5,0.89,No Data,84.54,87.64,3199248.5,0.9,No Data,180.35,185.36,5023719,0.92,No Data,151.17,158.55,2245100.5,0.9,No Data,29,35.15,692728,0.77,No Data,165.73,179.09,5412383,0.87,No Data,23.35,30.37,775445.31,0.72,No Data,28.45,36.73,610494.5,0.73,No Data,0,0,0,1805,821,1952,157.97,418.81,5212896.5,1,1,352,464,304,18904000.00,76.28
2020-02-01,1:00:00,431.11,423.88,66.46,0.99,153.81,147.67,1701854,0.97,No Data,20.68,26.9,647037.38,0.68,0.72,181.96,202.34,85.66,0.91,58.32,67.07,26.11,0.91,111,118,43,-93.03,14.75,13.44,5.28,0.92,124.92,134.52,4099787.75,0.87,No Data,68.32,68.39,1748396.88,0.93,No Data,3.78,4.6,484872.28,0.77,No Data,100.02,176.14,734229.31,0.53,No Data,89.85,93.89,2122952.75,0.88,No Data,92.63,94.25,3199334.5,0.92,No Data,176.75,182.1,5023905,0.91,No Data,163.48,169.48,2245259.75,0.91,No Data,32.29,37.49,692757.38,0.8,No Data,184.5,210.18,5412555,0.82,No Data,49.58,51.11,775483.88,0.91,No Data,35.78,44.05,610532.44,0.76,No Data,0,0,0,1803,784,1955,149.19,394.07,5213052,0.99,1,352,472,312,18904000.00,76.47
2020-02-01,2:00:00,429.93,432.74,66.46,0.988,141.43,136.94,1702000,0.96,No Data,20.85,27.15,647057.56,0.68,0.72,179.15,197.91,82.71,0.91,56.12,61.95,23.04,0.92,89,96,39,-91.13,16.58,22.24,5.28,0.98,122.94,132.24,4099914.75,0.87,No Data,71.32,71.39,1748466.38,0.93,No Data,0,0,484874.34,1,No Data,97.35,164.4,734318.81,0.56,No Data,87.98,92.28,2123044.25,0.87,No Data,93.54,95.19,3199420.75,0.91,No Data,172.01,178.11,5024088,0.9,No Data,162.97,169.79,2245417.5,0.9,No Data,41.21,43.47,692791.94,0.88,No Data,177.24,201,5412723,0.82,No Data,45.97,48.47,775523.38,0.88,No Data,33.75,41.22,610569.81,0.76,No Data,0,0,0,1804,765,1974,137.12,361.33,5213203,0.99,1,336,464,320,18904000.00,69.59
2020-02-01,3:00:00,431.85,429.78,66.46,0.988,143.99,138.88,1702147.13,0.97,No Data,20.81,27.1,647077.5,0.69,0.72,178.41,202.34,82.71,0.91,55.45,58.88,23.04,0.916,96,103,38,-92.69,18.62,19.52,5.28,0.96,125.02,133.72,4100044.25,0.88,No Data,66.93,67.56,1748533.25,0.93,No Data,1.82,2.27,484878.44,0.76,No Data,97.33,166.52,734407.25,0.55,No Data,89.02,92.69,2123132,0.88,No Data,90.76,93.27,3199508.25,0.91,No Data,163.59,170.62,5024265,0.9,No Data,151.82,157.96,2245572.75,0.9,No Data,39.97,42.54,692832.25,0.88,No Data,170.13,197.33,5412888.5,0.8,No Data,38.69,42.29,775562.81,0.86,No Data,42.29,49.43,610611.81,0.8,No Data,0,0,0,1797,775,1960,139.64,369.49,5213354,0.99,1,304,408,272,18904000.00,76.14
2020-02-01,4:00:00,431.7,426.83,63.51,0.986,145.66,140.12,1702293.63,0.97,No Data,22.14,27.58,647098.19,0.72,0.75,176.34,187.57,78.28,0.91,58.88,58.37,24.58,0.91,93,100,39,-92.16,18.64,17.28,4.96,0.96,121.04,129.44,4100168.75,0.88,No Data,61.56,62.45,1748597.38,0.92,No Data,0,0,484879.03,1,No Data,90.81,158.56,734496,0.54,No Data,93.4,96.35,2123220.75,0.89,No Data,81.62,84.82,3199594.5,0.9,No Data,164.26,171.38,5024431.5,0.9,No Data,143.93,150.44,2245725.75,0.9,No Data,37.1,38.7,692872.25,0.89,No Data,181.48,207.37,5413054.5,0.82,No Data,42.15,45.42,775605.13,0.87,No Data,50.28,56.31,610655.25,0.84,No Data,0,0,0,1793,761,1978,185.9,489.73,5213504.5,1,1,304,408,272,18904000.00,69.9
2020-02-01,5:00:00,439.53,428.31,66.46,0.988,151.34,145.09,1702439.63,0.97,No Data,23.45,28.37,647121.06,0.73,0.77,177.38,197.91,84.18,0.9,56.83,65.02,24.06,0.936,97,104,42,-91.87,17.81,18.08,5.12,0.96,125.14,132.52,4100293,0.88,No Data,73.89,75.4,1748663.25,0.91,No Data,0,0,484881.78,1,No Data,98.75,168.07,734584.19,0.55,No Data,88.18,92.71,2123311,0.87,No Data,78.5,82.31,3199681.25,0.88,No Data,160.26,167.94,5024593,0.89,No Data,146.27,152.74,2245873.75,0.89,No Data,41.59,43.91,692911.44,0.88,No Data,160.44,176.33,5413222.5,0.84,No Data,50.56,51.65,775645.19,0.91,No Data,38.55,46.79,610699.25,0.77,No Data,0,0,0,1800,754,1984,143.25,377.65,5213656,0.99,1,288,408,288,18904000.00,71.55
2020-02-01,6:00:00,423.43,450.46,63.51,0.988,142.57,137.81,1702585.88,0.97,No Data,19.26,26.16,647141.44,0.66,0.69,179.15,197.91,84.18,0.91,57.04,60.42,19.46,0.952,97,105,42,-91.73,17.15,22.88,5.12,0.98,124.85,134.75,4100421.75,0.87,No Data,60.14,61.4,1748728.38,0.91,No Data,0,0,484881.81,1,No Data,94.02,169.09,734673.56,0.52,No Data,84.94,89.71,2123398,0.87,No Data,88.31,93.48,3199777.5,0.88,No Data,155.11,163.43,5024752.5,0.89,No Data,151.55,159.11,2246020.75,0.89,No Data,28.11,32.76,692947.38,0.8,No Data,155.44,171.14,5413390,0.85,No Data,51.09,52.63,775686.13,0.91,No Data,47.38,53.68,610742.88,0.83,No Data,0,0,0,1800,777,1984,207.77,549.28,5213814,1,1,368,472,296,18904000.00,75.05
2020-02-01,7:00:00,446.92,438.65,69.42,0.99,157.84,150.98,1702729.38,0.96,No Data,19.02,26.71,647161.94,0.63,0.66,182.84,211.2,93.05,0.9,58.21,61.44,25.6,0.914,183,197,74,-92.68,20.48,23.04,5.12,0.97,150.31,159.78,4100552,0.87,No Data,62.78,63.51,1748791.63,0.91,No Data,0,0,484884.44,1,No Data,95.28,165.83,734759.38,0.53,No Data,87.18,91.09,2123484.5,0.87,No Data,86.79,91.59,3199862,0.87,No Data,155.25,163.91,5024909.5,0.88,No Data,151.49,157.26,2246164.25,0.89,No Data,34.65,40.09,692980.5,0.8,No Data,173.93,189.3,5413574.5,0.85,No Data,51.49,53.41,775732.63,0.89,No Data,38.29,47.5,610784.5,0.75,No Data,0,0,0,1808,769,1989,158.9,417.77,5213983,0.99,1,440,592,400,18912000.00,73.6
2020-02-01,8:00:00,436.14,441.6,69.42,0.986,141.52,136.67,1702877.25,0.97,No Data,19.03,26.11,647180.06,0.69,0.69,185.35,205.29,85.66,0.91,51.25,57.34,26.11,0.89,199,212,75,-93.42,18.24,20.64,5.12,0.96,202.38,204.42,4100724.25,0.93,No Data,64.61,65.32,1748854.63,0.93,No Data,0,0,484884.44,1,No Data,111.37,188,734855.88,0.56,No Data,81.71,87.06,2123568,0.86,No Data,92.81,98.42,3199950.5,0.88,No Data,151.81,161.65,5025064,0.88,No Data,167.44,171.48,2246314.5,0.92,No Data,40.43,44.12,693019,0.86,No Data,215.68,240.4,5413782,0.84,No Data,28.98,34.71,775778.31,0.78,No Data,46.32,52.91,610827.5,0.82,No Data,0,0,0,1799,785,1946,170.94,453.87,5214151,0.99,1,560,664,352,18912000.00,84.16
2020-02-01,9:00:00,444.41,459.32,70.89,0.988,144.84,138.97,1703023,0.97,No Data,19.63,27.15,647198.44,0.67,0.68,187.86,214.15,90.09,0.91,57.24,64,26.11,0.918,201,209,63,-95.29,19.33,14.56,5.44,0.91,195.95,204.78,4100919.5,0.9,No Data,58.86,59.97,1748919.75,0.91,No Data,8.73,9.11,484886.03,0.9,No Data,108.24,183.09,734950.56,0.55,No Data,85.06,90.42,2123651.5,0.86,No Data,139.32,152.79,3200046.75,0.85,No Data,153.05,162.94,5025219.5,0.88,No Data,172.53,178.72,2246487,0.9,No Data,38.12,40.96,693060.25,0.86,No Data,207.37,221.21,5413984.5,0.87,No Data,34.41,39.33,775816.88,0.81,No Data,54.34,59.08,610875.5,0.86,No Data,0,0,0,1809,775,1957,175.83,462.79,5214321,0.99,1,632,784,472,18912000.00,80.84
