DATE,TIME,BLD A (KW),BLD A (KVA),BLD A (KVAR),BLD A (Apparent PF),Plant Chillers (KW),Plant Chillers (Avg Current),Plant Chillers (kWh),Plant Chillers (Apparent PF),Plant Chillers (Displacement PF),BLD A FITNESS ZONE (KW),BLD A FITNESS (AVG CURRENT),BLD A FITNESS (kWh),BLD A FITNESS (Apparent PF),BLD A FITNESS (Displacement PF),BLD B (KW),BLD B (kVa),BLD B (kVAR),BLD B (PF),BLD D (KW),BLD D (kVA),BLD D (kVAR),BLD D (PF),BLD E (KW),BLD E (kVA),BLD E (KVAR),BLD E (PF),BLD G (KW),BLD G (kVA),BLD G (kVAR),BLD G (PF),BLD H (KW),BLD H Average Current,BLD H (kWh),BLD H (Apparent PF),BLD H (DISPLACEMENT PF),BLD J (KW),BLD J Average Current,BLD J (kWh),BLD J (Apparent PF),BLD J (Displacement PF),BLD K (KW),BLD K Average Current,BLD K (kWh),BLD K (Apparent PF),BLD K (Displacement PF),BLD M (KW),BLD M (Average Current),BLD M (kWh),BLD M (Apparent PF),BLD M (Displacement PF),BLD N (KW),BLD N Average Current,BLD N (kWh),BLD N (Apparent PF),BLD N (Displacement PF),BLD P (KW),BLD P Average Current,BLD P (kWh),BLD P (Apparent PF),BLD P (Displacement PF),RES PH 1 & 2 (KW),RES PH 1 & 2 Avg Current,RES PH 1 & 2 (kWh),RES PH 1 & 2 (Apparent PF),RES PH 1 & 2 (Displacement PF),RES PH 3 (KW),RES PH 3 Avg Current,RES PH 3 (kWh),RES PH 3 (Apparent PF),RES PH 3 (Displacement PF),BLD S (KW),BLD S Avg Current,BLD S (kWh),BLD S (Apparent PF),BLD S (Displacement PF),BLD T (KW),BLD T Avg Current,BLD T (kWh),BLD T (Apparent PF),BLD T (Displacement PF),BLD V (KW),BLD V Avg Current,BLD V (kWh),BLD V (Apparent PF),BLD V (Displacement PF),BLD Z (KW),BLD Z Avg Current,BLD Z (kWh),BLD Z (Apparent PF),BLD Z (Displacement PF),COGEN 1 (kW),COGEN 1 (kVAR),COGEN 1 (kVA),COGEN2 (kW),COGEN2 (KVAR),COGEN2 (KVA),BLD C (kW),BLD C Avg Current,BLD C (kWh),BLD C (Apparent PF),BLD C (Displacement PF) ,Campus Billing (kW),Campus Billing (KVA),Campus Billing (KVAR),Campus Billing (kWh),Campus Billing PF
2020-01-01,0:00:00,392.71,392.86,63.51,0.986,119.75,114.11,1591713.5,0.98,0.99,18.66,25.33,628293.88,0.66,0.7,126.57,141.78,69.42,0.87,54.73,58.88,23.04,0.924,70,76,34,-89.75,17.92,12.48,5.12,0.91,99.41,112.96,3987311.75,0.83,0.83,51.55,55.53,1692284.13,0.87,0.9,0,0,480184.13,1,1,72.66,104.69,662328.69,0.66,0.71,75.55,81.95,2054658.75,0.85,0.85,80.61,85.84,3111730.5,0.88,0.89,141.97,155.04,4893014.5,0.87,0.87,122.07,134.05,2119002.5,0.86,0.86,47.86,58.82,658177.63,0.77,0.77,151.57,171.57,5240654,0.83,0.9,20.88,28.34,747845.94,0.69,0.7,34.93,41.68,575466.25,0.79,0.79,0,0,0,0,0,0,134.99,361.4,5073197.5,0.99,1,1792,2048,992,18488000,87.48
2020-01-01,1:00:00,398.47,389.91,64.98,0.988,119.57,113.33,1591833.5,0.98,0.99,21.23,27.11,628313.75,0.7,0.74,127.9,144.74,73.85,0.86,55.55,60.93,28.67,0.892,74,81,35,-90.09,15.01,16.8,5.28,0.94,95.62,109.83,3987408.75,0.82,0.82,53.8,57.95,1692338.75,0.87,0.89,0,0,480184.13,1,1,72.11,105.2,662404.06,0.64,0.7,63.48,72.08,2054731.38,0.81,0.81,81.9,86.52,3111817.25,0.88,0.89,142.36,155.31,4893157.5,0.86,0.86,128.83,141.34,2119127.75,0.86,0.86,26.66,31.87,658205.38,0.78,0.78,140.36,178.81,5240808.5,0.73,0.75,22.42,30.04,747870.56,0.7,0.7,39.75,45.62,575500.25,0.82,0.82,0,0,0,0,0,0,130.23,346.75,5073324.5,0.99,1,1768,2040,1008,18496000,86.81
2020-01-01,2:00:00,399.95,400.25,66.46,0.988,120.07,114.02,1591953.63,0.98,0.99,20.91,27.17,628333.88,0.69,0.73,129.08,149.17,70.89,0.88,53.25,53.76,25.09,0.914,75,82,36,-89.87,14.67,11.84,5.44,0.91,95.95,109.53,3987503.25,0.82,0.83,51.94,55.35,1692392.88,0.88,0.9,0,0,480184.13,1,1,80.33,114.72,662477.19,0.66,0.71,60.76,69.79,2054796.5,0.8,0.8,82.43,87.78,3111904.5,0.88,0.89,144.97,157.74,4893302.5,0.87,0.87,124.23,137.51,2119254.75,0.85,0.85,27.56,34.54,658235.88,0.75,0.75,145.55,174.62,5240967,0.78,0.84,22.34,29.91,747895.69,0.7,0.7,33.61,40.71,575533.44,0.77,0.78,0,0,0,0,0,0,127.42,340.17,5073453.5,0.99,1,1752,2016,1000,18496000,86.88
2020-01-01,3:00:00,383.7,381.05,64.98,0.988,119.45,113.1,1592073.63,0.98,0.99,17.53,24.55,628353.06,0.64,0.67,124.06,147.69,73.85,0.87,55.5,70.14,30.72,0.89,78,86,39,-89.46,16.96,15.68,5.44,0.93,93.24,106.76,3987602.75,0.82,0.82,52.82,57.09,1692447.63,0.86,0.88,0,0,480184.13,1,1,78.18,114.54,662550.38,0.64,0.69,64.16,72.63,2054860.88,0.81,0.81,82.83,87.17,3111992,0.88,0.9,143.31,156.61,4893447,0.86,0.86,128.49,140.28,2119383.75,0.86,0.86,29.44,36.07,658264.13,0.76,0.76,172.07,202.85,5241127.5,0.79,0.8,26.66,33.14,747920.75,0.75,0.76,33.53,41.72,575566.38,0.75,0.75,0,0,0,0,0,0,122.66,326.98,5073583,0.98,1,1760,2032,1024,18496000,86.48
2020-01-01,4:00:00,396.55,394.34,67.94,0.984,120.33,114.36,1592193.75,0.98,0.99,19.12,25.69,628373.19,0.67,0.7,124.8,141.78,70.89,0.87,49.77,51.2,21.5,0.912,75,83,38,-88.81,16.83,15.04,5.44,0.91,94.97,108.07,3987699,0.82,0.83,52.96,57.15,1692502,0.86,0.88,0,0,480184.13,1,1,71.07,99.34,662624.69,0.67,0.72,65.57,73.88,2054926.38,0.81,0.81,90.43,93.86,3112080,0.9,0.91,145.65,158.29,4893593,0.86,0.86,126.45,139.03,2119511,0.85,0.85,28.24,33.19,658292.75,0.79,0.8,150.92,170.9,5241284,0.82,0.89,24.5,31.39,747945.69,0.73,0.73,36.24,43.51,575601.38,0.78,0.78,0,0,0,0,0,0,124.31,330.83,5073713.5,0.99,1,1768,2032,1008,18496000,86.8
2020-01-01,5:00:00,386.66,384,63.51,0.988,120.23,114.04,1592313.63,0.98,0.99,23.06,28.45,628393.31,0.73,0.76,125.1,144.74,70.89,0.87,52.63,55.81,22.53,0.928,79,86,37,-90.14,12.62,19.04,6.88,0.94,94.41,108.31,3987797.5,0.82,0.82,55.55,58.51,1692555.75,0.89,0.91,0,0,480184.13,1,1,73.17,106.52,662698.63,0.65,0.7,69.61,77.81,2054992.25,0.82,0.82,90.53,94.28,3112166.5,0.9,0.91,149.03,161.68,4893735.5,0.87,0.87,120.06,131.91,2119636.75,0.85,0.85,28.6,35.31,658320.81,0.76,0.76,164.88,197.47,5241441.5,0.78,0.79,29.38,35.53,747970.5,0.77,0.79,32.93,42.56,575636.63,0.72,0.73,0,0,0,0,0,0,131.17,349.49,5073841,0.99,1,1784,2048,1008,18496000,87.1
2020-01-01,6:00:00,392.71,392.86,62.03,0.986,121.47,115.6,1592433.5,0.98,0.99,20.29,26.49,628413.19,0.69,0.72,136.62,159.51,76.8,0.88,51.97,57.34,23.55,0.92,82,90,38,-90.56,15.68,18.4,5.12,0.96,95.96,109.38,3987892.75,0.83,0.83,54.71,57.96,1692609.75,0.88,0.9,0,0,480184.13,1,1,70.45,98.29,662772.38,0.68,0.73,83.6,88.04,2055074.75,0.87,0.88,95.3,99.57,3112256.75,0.9,0.9,143.7,157.39,4893876,0.86,0.86,124.3,136.21,2119764.5,0.86,0.86,27.23,34.54,658348.69,0.74,0.75,165.91,188.51,5241610,0.82,0.89,23.7,30.65,747996.13,0.72,0.73,34.9,42.41,575671.25,0.77,0.77,0,0,0,0,0,0,141.63,377.84,5073972.5,0.99,1,1848,2120,1032,18504000,87.38
2020-01-01,7:00:00,407.78,415.02,60.55,0.988,119.13,113.74,1592553.13,0.98,0.99,19.24,25.46,628433.81,0.69,0.72,178.56,203.82,91.57,0.89,58.21,60.93,25.6,0.904,120,128,47,-92.89,17.5,17.12,5.12,0.96,96.06,109.52,3987993.75,0.83,0.83,58.88,61.36,1692668.75,0.9,0.92,0,0,480184.13,1,1,76.52,110.15,662850.13,0.66,0.7,79.79,85.84,2055156.88,0.86,0.86,91.15,96.91,3112347.25,0.88,0.89,135.78,150.07,4894016.5,0.86,0.86,123.27,135.89,2119891.75,0.86,0.86,33.72,40.85,658382,0.78,0.78,186.64,223.44,5241790.5,0.79,0.8,27.12,33.65,748020.94,0.76,0.77,34.92,43.95,575706.31,0.75,0.75,0,0,0,0,0,0,130.57,350.99,5074105,0.99,1,1936,2208,1064,18504000,87.72
2020-01-01,8:00:00,400.39,395.82,56.12,0.988,119.14,114,1592672.5,0.98,0.99,20.12,26.2,628454.31,0.73,0.74,171.62,190.52,87.14,0.89,60.67,61.44,24.58,0.932,162,170,53,-94.77,14.16,13.76,5.76,0.89,103.26,118.52,3988094.25,0.83,0.83,66.5,68.48,1692731.75,0.92,0.93,0,0,480184.13,1,1,78.82,113.1,662926.94,0.66,0.7,73.82,80.52,2055233.13,0.85,0.85,97.13,103.8,3112441.75,0.88,0.89,137.2,151.78,4894156,0.86,0.86,117.94,131.52,2120016.25,0.85,0.85,30.82,40.01,658413.94,0.73,0.73,204.37,225.98,5241994,0.85,0.92,25.14,31.64,748045.63,0.75,0.76,36.66,45.39,575742.38,0.76,0.76,0,0,0,0,0,0,123.32,332.19,5074232,0.99,1,1952,2224,1056,18504000,87.93
2020-01-01,9:00:00,401.43,382.52,57.6,0.988,119.97,114.66,1592792,0.98,0.99,18.32,25.2,628473.81,0.69,0.69,171.77,187.57,87.14,0.89,57.96,62.98,27.14,0.904,147,154,50,-94.46,12.42,12.48,5.92,0.87,103.9,118.47,3988196.5,0.83,0.83,67.54,69.87,1692795.88,0.91,0.92,0,0,480184.13,1,1,79.9,111.8,663004,0.68,0.72,70.23,77.39,2055306.13,0.84,0.84,99,105.39,3112535.25,0.88,0.89,135.16,149.72,4894292.5,0.85,0.85,124.09,137.28,2120143.25,0.85,0.85,29.97,39.4,658444.81,0.71,0.72,210.57,246.44,5242198,0.8,0.82,24.08,31.15,748069.44,0.73,0.74,35.02,44.95,575777.19,0.73,0.74,0,0,0,0,0,0,135.26,362.76,5074362.5,0.99,1,1936,2224,1088,18504000,87.19
