2020-01-16 09:18:38 - CompareSensors complete!
2020-01-16 09:18:38 - Writing conditions to database
2020-01-16 09:22:02 - Database not found - constructing new
2020-01-16 09:24:13 - Database not found - constructing new
2020-01-16 09:25:09 - Inserting new tag into database - SINUSOID
2020-01-16 09:25:09 - Inserting new tag into database - SINUSOIDU
2020-01-16 09:25:09 - Inserting new tag into database - CDT158
2020-01-16 09:25:09 - Inserting new tag into database - CDM158
2020-01-16 09:25:09 - Inserting new tag into database - CDEP158
2020-01-16 09:25:09 - Inserting new tag into database - BA:TEMP.1
2020-01-16 09:25:09 - Inserting new tag into database - BA:LEVEL.1
2020-01-16 09:25:09 - Inserting new tag into database - BA:CONC.1
2020-01-16 09:25:09 - Inserting new tag into database - BA:ACTIVE.1
2020-01-16 09:25:09 - Inserting new tag into database - BA:PHASE.1
2020-01-16 09:25:09 - Inserting new tag into database - sy.io.PI-NODE1.PIModbusE1
2020-01-16 09:25:09 - Inserting new tag into database - sy.io.PI-NODE1.OPCInt1
2020-01-16 09:25:09 - Inserting new tag into database - sy.io.PI-NODE1.PIPing2
2020-01-16 09:25:09 - Inserting new tag into database - sy.io.PI-NODE1.PIPerfMon2
2020-01-16 09:25:09 - Inserting new tag into database - sy.io.PI-NODE1.PISNMP1
2020-01-16 09:25:09 - Inserting new tag into database - sy.io.PI-NODE1.PITCPResp1
2020-01-16 09:25:10 - Inserting new tag into database - Ping.PI-OMNODE
2020-01-16 09:25:10 - Inserting new tag into database - Ping.PI-WEB
2020-01-16 09:25:10 - Inserting new tag into database - Ping.PI-AFSERVER
2020-01-16 09:25:10 - Inserting new tag into database - bae9cf24-c8b3-46c0-ad5d-a64df2174ed9
2020-01-16 09:25:10 - Inserting new tag into database - feb5c2df-3e8d-4e9e-a32b-1b39f835b531
2020-01-16 09:25:10 - Inserting new tag into database - eeaa5a37-bcc4-426b-9d8d-df40be83907c
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.PH.PXCM2_ACCE.ERU61.SAT.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.PH.PXCC4_ACCE.GEN.EF64TRG.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCC15_ACCE.ERU11.EAT.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCC15_ACCE.ERU11.FAN.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCC15_ACCE.ERU11.FIL.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCC15_ACCE.ERU11.OAD1.ES.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCC15_ACCE.ERU11.OAD1.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCC15_ACCE.ERU11.OAD2.ES.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCC15_ACCE.ERU11.OAD2.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCC15_ACCE.ERU11.OAT.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCC15_ACCE.ERU11.OCC.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCC15_ACCE.ERU11.RAT.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCC15_ACCE.ERU11.WRA.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z1CV.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z1RT.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z1SLT.PRESENT_VALUE
2020-01-16 09:25:10 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z1ST.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z3CV.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z3RT.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z3SLT.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z3ST.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z4CV.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z4RT.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z4SLT.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z4ST.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z5CV.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z5RT.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z5SLT.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.FLRH.Z5ST.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT31.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT32.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT33.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT34.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT35.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT36.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT37.PRESENT_VALUE
